City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Khani,GE,73.4,scattered clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
205,Lorengau,PG,81.82,light rain,-2.02,147.27,Lorengau Harbourside Hotel
206,Port Augusta,AU,72.0,overcast clouds,-32.5,137.77,Majestic Oasis Apartments
208,Tual,ID,81.09,broken clouds,-5.67,132.75,Grand Vilia Hotel
209,Vao,NC,72.03,broken clouds,-22.67,167.48,Hotel Kou-Bugny
210,Cajuru,BR,73.4,overcast clouds,-21.28,-47.3,Hotel Tropical Cajuru
213,Inhambane,MZ,80.53,clear sky,-23.86,35.38,Oceano
217,Rockport,US,79.0,few clouds,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
225,Bathsheba,BB,75.2,few clouds,13.22,-59.52,Atlantis Hotel
227,Cajaruro,PE,72.25,scattered clouds,-5.74,-78.43,Hotel Kuelap
228,Upata,VE,78.01,clear sky,8.01,-62.4,Posada Villa Nela
229,Alyangula,AU,93.2,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
232,Touros,BR,71.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
248,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
250,Mahebourg,MU,80.6,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
259,Cabo San Lucas,MX,79.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
260,Ambilobe,MG,97.61,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
262,Kot Diji,PK,99.72,clear sky,27.34,68.71,Babe Zainabia (s.a)
268,Charters Towers,AU,90.28,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
271,Nishihara,JP,84.2,shower rain,26.18,127.76,Minshuku Agaihama
272,Jacmel,HT,75.2,light rain,18.23,-72.53,Hotel Florita
276,Bilma,NE,91.78,clear sky,18.69,12.92,Expeditions Ténére voyages
278,Susangerd,IR,89.6,clear sky,31.56,48.18,فاطمه ابرفت
279,Qui Nhon,VN,82.09,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
280,Sola,VU,80.08,clear sky,-13.88,167.55,Leumerus Bungalows
281,Dingle,PH,79.92,overcast clouds,11.0,122.67,Camp Pasica
286,Moree,AU,75.2,clear sky,-29.47,149.85,Molika Springs Motel
290,Quatre Cocos,MU,81.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
292,Negombo,LK,86.0,scattered clouds,7.21,79.84,Hotel Sunset Beach
294,Puerto Colombia,CO,71.6,scattered clouds,10.99,-74.95,Hotel El Emigrante
295,Dalbandin,PK,77.07,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
298,Intipuca,SV,73.92,light rain,13.2,-88.05,hotel familiar Fco
300,Pa Sang,TH,73.4,light intensity drizzle,18.53,98.94,โรงแรม จามจุรี 99
301,Birnin Kebbi,NG,85.24,clear sky,12.45,4.2,Saffar Guest Inn Ltd
307,Dakar,SN,82.4,few clouds,14.69,-17.44,Novotel Dakar
308,Sundumbili,ZA,73.4,broken clouds,-29.13,31.4,The Plover Bed and Breakfast
312,Gboko,NG,78.3,broken clouds,7.32,9.0,Bays Garden Hotel
314,Bengkulu,ID,82.98,light rain,-3.8,102.27,Grage Hotel Bengkulu
316,San Andres,CO,82.4,broken clouds,12.58,-81.7,Hotel Arena Blanca
318,High Rock,BS,81.45,overcast clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
325,Sinjai,ID,86.14,overcast clouds,-5.12,120.25,Wisma Sandika
328,Sao Filipe,CV,79.97,overcast clouds,14.9,-24.5,Tortuga B&B
330,Gorele,TR,73.4,scattered clouds,41.03,39.0,Görele Öğretmenevi
333,Ilebo,CD,84.58,overcast clouds,-4.32,20.58,Hôtel des palmes
335,Banswara,IN,94.71,few clouds,23.55,74.45,Hotel Relax Inn
336,Victoria,HK,81.0,clear sky,22.29,114.16,Mini Hotel Central
339,Labuhan,ID,76.89,light rain,-6.88,112.21,bador sepret
341,Cururupu,BR,76.05,scattered clouds,-1.83,-44.87,Pousada Través'cia
343,San Patricio,US,78.01,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
345,Mumford,GH,78.67,light rain,5.26,-0.76,Spanish Villa
346,Kavaratti,IN,87.8,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
